candle_end_time,open,close,high,low,volume
2020-10-13 08:00:00,4.32,4.2491,4.3479,4.142,106995.46771464
2020-10-14 08:00:00,4.2575,4.2042,4.3868,4.0907,95551.53989062
2020-10-15 08:00:00,4.1936,4.0993,4.1936,4.0242,182556.89189237
2020-10-16 08:00:00,4.0885,3.9095,4.1551,3.811,180976.08510434
2020-10-17 08:00:00,3.9211,3.9716,3.9831,3.875,48564.33637694
2020-10-18 08:00:00,3.9672,4.1114,4.1274,3.96,58207.84131684
2020-10-19 08:00:00,4.1136,3.9886,4.1276,3.9591,71101.26552607
2020-10-20 08:00:00,3.9885,3.9158,4.1466,3.8724,243713.83032364
2020-10-21 08:00:00,3.9098,4.1418,4.2479,3.8993,181907.05894071
2020-10-22 08:00:00,4.1433,4.2686,4.338,4.1336,84509.02443335
2020-10-23 08:00:00,4.2659,4.2606,4.4848,4.1857,133027.91201617
2020-10-24 08:00:00,4.268,4.3543,4.4315,4.2422,64359.35063273
2020-10-25 08:00:00,4.3534,4.329,4.4476,4.2615,78873.05911375
2020-10-26 08:00:00,4.3279,4.7038,4.751,4.2976,240850.71404701
2020-10-27 08:00:00,4.7101,4.6857,4.9304,4.6561,165000.5999546
2020-10-28 08:00:00,4.6623,4.3625,4.7691,4.26,155652.76810943
2020-10-29 08:00:00,4.3595,4.0577,4.4,3.852,124582.67300174
2020-10-30 08:00:00,4.0574,4.0845,4.1556,3.92,129423.13876173
2020-10-31 08:00:00,4.0819,4.1837,4.2763,4.0645,47465.40340529
2020-11-01 08:00:00,4.1809,4.2197,4.2211,4.107,27576.48507596
2020-11-02 08:00:00,4.2248,4.0301,4.2615,3.97,63558.56674895
2020-11-03 08:00:00,4.0323,4.0273,4.0652,3.89,58367.51939436
2020-11-04 08:00:00,4.034,4.0927,4.1534,3.8966,48701.6548281
2020-11-05 08:00:00,4.0969,4.2207,4.2975,4.0232,83295.6933015
2020-11-06 08:00:00,4.2114,4.5817,4.6383,4.21,107256.91709125
2020-11-07 08:00:00,4.5944,4.2369,4.846,4.1,197980.71812178
2020-11-08 08:00:00,4.2355,4.3776,4.42,4.1457,50002.50923825
2020-11-09 08:00:00,4.3816,4.3465,4.4624,4.2446,49361.07823922
2020-11-10 08:00:00,4.3381,4.4249,4.5004,4.3087,39382.06815905
2020-11-11 08:00:00,4.4332,4.4515,4.6319,4.4249,68313.02278976
2020-11-12 08:00:00,4.4554,4.3978,4.475,4.319,35256.46550153
2020-11-13 08:00:00,4.396,4.5368,4.5845,4.3735,36061.50316076
2020-11-14 08:00:00,4.5505,4.4633,4.5505,4.3597,36915.15126765
2020-11-15 08:00:00,4.4565,4.369,4.497,4.3121,47813.64322396
2020-11-16 08:00:00,4.369,4.4926,4.5976,4.348,71650.66746704
2020-11-17 08:00:00,4.4971,4.8606,4.924,4.4971,159827.87262951
2020-11-18 08:00:00,4.868,4.6826,4.949,4.5033,181887.47551328
2020-11-19 08:00:00,4.6893,4.7542,4.8493,4.5427,67739.81728627
2020-11-20 08:00:00,4.7535,5.2359,5.475,4.7473,310248.401666
2020-11-21 08:00:00,5.23,5.7706,5.8099,5.1319,382884.14630398
2020-11-22 08:00:00,5.7634,5.5021,5.8273,5.1838,234422.3160619
2020-11-23 08:00:00,5.5109,5.9033,5.9474,5.4113,217343.60836505
2020-11-24 08:00:00,5.9033,5.7116,6.0881,5.592,294724.69228436
2020-11-25 08:00:00,5.7237,5.3109,5.8148,5.1341,168543.01574918
2020-11-26 08:00:00,5.2957,4.8133,5.3686,4.4637,659633.63771981
2020-11-27 08:00:00,4.8243,4.8196,5.0811,4.5257,55368.54791555
2020-11-28 08:00:00,4.7937,4.9015,4.95,4.6842,48021.50946981
2020-11-29 08:00:00,4.9033,5.1732,5.2035,4.8143,56187.2568245
2020-11-30 08:00:00,5.1976,5.3754,5.4564,5.1441,172502.40988083
2020-12-01 08:00:00,5.3745,5.0948,5.5493,4.9789,252493.39651019
2020-12-02 08:00:00,5.0873,5.4704,5.5527,5.0187,144880.04060242
2020-12-03 08:00:00,5.4678,5.4112,5.577,5.332,192675.19968311
2020-12-04 08:00:00,5.4047,5.041,5.435,4.9548,210195.35232518
2020-12-05 08:00:00,4.9993,5.1893,5.1926,4.88,121642.66083883
2020-12-06 08:00:00,5.1959,5.1402,5.2031,5.0124,63715.86235043
2020-12-07 08:00:00,5.1391,5.0607,5.1537,5.0156,48362.49535952
2020-12-08 08:00:00,5.0585,4.7378,5.0711,4.7086,155424.58330217
2020-12-09 08:00:00,4.7377,4.8743,4.9503,4.6334,128867.14233919
2020-12-10 08:00:00,4.8804,4.8016,4.9159,4.7525,43046.28384098
2020-12-11 08:00:00,4.8009,4.6071,4.8009,4.5518,53237.26112104
2020-12-12 08:00:00,4.6233,4.735,4.8065,4.6179,40098.14868219
2020-12-13 08:00:00,4.7426,4.8946,4.9973,4.7339,49769.46096381
2020-12-14 08:00:00,4.8945,4.8993,5.0102,4.832,36009.9065617
2020-12-15 08:00:00,4.8967,5.2507,5.2998,4.8596,129079.01695488
2020-12-16 08:00:00,5.2414,5.3554,5.3626,5.1268,139970.89638778
2020-12-17 08:00:00,5.3717,5.3385,5.7183,5.275,194245.30267173
2020-12-18 08:00:00,5.3141,5.3594,5.4985,5.2441,198911.80399516
2020-12-19 08:00:00,5.3627,5.3316,5.5752,5.2795,95531.09471632
2020-12-20 08:00:00,5.3312,5.1806,5.4282,5.0723,148354.53565587
2020-12-21 08:00:00,5.18,4.8851,5.4358,4.772,495840.39825963
2020-12-22 08:00:00,4.8707,5.1473,5.1792,4.7946,291700.84452514
2020-12-23 08:00:00,5.1478,4.7118,5.1809,4.586,161939.48068383
2020-12-24 08:00:00,4.718,5.1233,5.2033,4.6348,194637.39141251
2020-12-25 08:00:00,5.1176,5.2201,5.2829,5.0462,217482.14480925
2020-12-26 08:00:00,5.2171,5.1834,5.2876,5.0855,106704.64983283001
2020-12-27 08:00:00,5.1757,5.1431,5.4093,4.9209,368501.78878932
2020-12-28 08:00:00,5.1477,6.5974,6.6846,5.1027,1190454.42534498
2020-12-29 08:00:00,6.5899,7.5163,7.6723,6.1802,2129743.36430457
2020-12-30 08:00:00,7.529,7.2421,7.6755,7.0576,982571.65719686
2020-12-31 08:00:00,7.2296,9.2408,9.5,7.1579,1250983.9642554
2021-01-01 08:00:00,9.2631,8.282,9.4307,8.0991,1161242.21537762
2021-01-02 08:00:00,8.2637,9.2113,9.83,7.91,1060554.00093464
2021-01-03 08:00:00,9.2079,10.138,10.49,8.8561,837732.1358008
2021-01-04 08:00:00,10.129,9.5,10.524,8.7096,715088.98168603
2021-01-05 08:00:00,9.504,9.7017,10.068,9.0367,262038.94231424
2021-01-06 08:00:00,9.7397,10.078,10.45,9.4417,410454.38762463
2021-01-07 08:00:00,10.078,9.6459,10.683,9.4321,477976.29102985
2021-01-08 08:00:00,9.6305,9.2764,9.8227,8.7917,420899.56445455
