datetime,mv
2015/2/27,35.24815128
2015/2/28,35.31770072
2015/3/1,36.15184872
2015/3/2,38.3117957
2015/3/3,39.16111011
2015/3/4,37.97381975
2015/3/5,38.41199003
2015/3/6,37.94158053
2015/3/7,38.44347372
2015/3/8,38.18877841
2015/3/9,40.32245451
2015/3/10,40.63307736
2015/3/11,41.28800794
2015/3/12,41.01530521
2015/3/13,39.76953821
2015/3/14,39.2975339
2015/3/15,39.93635126
2015/3/16,40.53195269
2015/3/17,39.83144988
2015/3/18,35.76667665
2015/3/19,36.42157517
2015/3/20,36.54510981
2015/3/21,36.31424557
2015/3/22,37.43197248
2015/3/23,37.27115895
2015/3/24,34.32717531
2015/3/25,34.42125957
2015/3/26,34.75708176
2015/3/27,34.55737131
2015/3/28,35.37377833
2015/3/29,33.97186865
2015/3/30,34.65417144
2015/3/31,34.20119293
2015/4/1,34.63621235
2015/4/2,35.44972446
2015/4/3,35.64352141
2015/4/4,35.56553313
2015/4/5,36.54266205
2015/4/6,35.83459918
2015/4/7,35.52018307
2015/4/8,34.38324248
2015/4/9,34.20244593
2015/4/10,33.14410083
2015/4/11,33.21973857
2015/4/12,33.17123015
2015/4/13,31.55542061
2015/4/14,30.80095245
2015/4/15,31.46461068
2015/4/16,32.13881063
2015/4/17,31.34567488
2015/4/18,31.42052836
2015/4/19,31.32227161
2015/4/20,31.61605832
2015/4/21,33.12303143
2015/4/22,32.97795801
2015/4/23,33.3076243
2015/4/24,32.5831696
2015/4/25,31.9050215
2015/4/26,30.93210382
2015/4/27,32.32941926
2015/4/28,31.8542864
2015/4/29,31.85476714
2015/4/30,33.3209844
2015/5/1,32.75581427
2015/5/2,33.16685274
2015/5/3,33.94163164
2015/5/4,33.76004547
2015/5/5,33.35979567
2015/5/6,32.47356027
2015/5/7,33.54919438
2015/5/8,34.48124449
2015/5/9,34.20187237
2015/5/10,33.99248766
2015/5/11,34.26522588
2015/5/12,34.12639376
2015/5/13,33.46581808
2015/5/14,33.55316262
2015/5/15,33.65752851
2015/5/16,33.45972012
2015/5/17,33.5617723
2015/5/18,33.04945005
2015/5/19,32.88954456
2015/5/20,33.19171194
2015/5/21,33.38889748
2015/5/22,34.10717238
2015/5/23,33.90430421
2015/5/24,34.2084051
2015/5/25,33.67131019
2015/5/26,33.68071962
2015/5/27,33.71256961
2015/5/28,33.73815074
2015/5/29,33.70297567
2015/5/30,33.177714
2015/5/31,32.73749733
2015/6/1,31.71169614
2015/6/2,32.12966431
2015/6/3,32.14775712
2015/6/4,31.93508705
2015/6/5,32.03216253
2015/6/6,32.13719463
2015/6/7,31.75550845
2015/6/8,32.56356818
2015/6/9,32.65172294
2015/6/10,32.6263945
2015/6/11,32.76295885
2015/6/12,32.810559
2015/6/13,33.16503387
2015/6/14,33.33660699
2015/6/15,33.81329381
2015/6/16,35.82989175
2015/6/17,35.60949415
2015/6/18,35.57993134
2015/6/19,34.95987626
2015/6/20,35.05472688
2015/6/21,34.88111053
2015/6/22,35.32602526
2015/6/23,34.94931153
2015/6/24,34.4176472
2015/6/25,34.7536583
2015/6/26,34.87695052
2015/6/27,35.94397744
2015/6/28,35.66934171
2015/6/29,36.83187961
2015/6/30,37.70228517
2015/7/1,37.07306204
2015/7/2,36.62295237
2015/7/3,36.76579461
2015/7/4,37.42820324
2015/7/5,39.0199159
2015/7/6,38.61826653
2015/7/7,38.22204498
2015/7/8,38.89016171
2015/7/9,38.67548112
2015/7/10,40.9371099
2015/7/11,42.12921526
2015/7/12,44.69121264
2015/7/13,41.99739824
2015/7/14,41.34764841
2015/7/15,41.12339932
2015/7/16,40.01916074
2015/7/17,40.22841998
2015/7/18,39.58064529
2015/7/19,39.40580866
2015/7/20,40.18965234
2015/7/21,39.74492041
2015/7/22,39.95567028
2015/7/23,39.79624304
2015/7/24,41.57153113
2015/7/25,41.64298393
2015/7/26,42.22885227
2015/7/27,42.37528907
2015/7/28,42.50119707
2015/7/29,41.81385551
2015/7/30,41.55381167
2015/7/31,41.12088952
2015/8/1,40.69124088
2015/8/2,40.84836711
2015/8/3,40.65891479
2015/8/4,41.24559144
2015/8/5,40.7725869
2015/8/6,40.30451193
2015/8/7,40.45995885
2015/8/8,37.78055343
2015/8/9,38.3813201
2015/8/10,38.30353412
2015/8/11,39.17143505
2015/8/12,38.59882927
2015/8/13,38.27591183
2015/8/14,38.51710753
2015/8/15,37.92757515
2015/8/16,37.49498591
2015/8/17,37.42746033
2015/8/18,30.63107151
2015/8/19,32.90448465
2015/8/20,34.17121677
2015/8/21,33.77703139
2015/8/22,33.46955711
2015/8/23,33.1547211
2015/8/24,30.59456564
2015/8/25,32.21750661
2015/8/26,32.84046612
2015/8/27,32.6936281
2015/8/28,33.66643772
2015/8/29,33.44063889
2015/8/30,33.3008556
2015/8/31,33.49842524
2015/9/1,33.22554402
2015/9/2,33.40402153
2015/9/3,33.10625017
2015/9/4,33.5691185
2015/9/5,34.26588154
2015/9/6,34.97753009
2015/9/7,34.98768351
2015/9/8,35.54440766
2015/9/9,34.75966518
2015/9/10,34.81472191
2015/9/11,35.06208641
2015/9/12,34.35801654
2015/9/13,33.67770894
2015/9/14,33.70576581
2015/9/15,33.66535189
2015/9/16,33.49616247
2015/9/18,34.08098398
2015/9/19,33.87139404
2015/9/20,33.83765028
2015/9/21,33.24114498
2015/9/22,33.76737528
2015/9/23,33.72744117
2015/9/24,34.35746649
2015/9/25,34.45725725
2015/9/26,34.34812335
2015/9/27,34.12462073
2015/9/28,35.06930349
2015/9/29,34.71970602
2015/9/30,34.63618783
2015/10/1,34.86370919
2015/10/2,34.8343336
2015/10/3,35.05378978
2015/10/4,34.99388303
2015/10/5,35.31504172
2015/10/6,36.15830412
2015/10/7,35.71170649
2015/10/8,35.62232942
2015/10/9,35.86928582
2015/10/10,36.02758216
2015/10/11,36.34688806
2015/10/12,36.09931795
2015/10/13,36.72591074
2015/10/14,37.1006013
2015/10/15,37.45444057
2015/10/16,38.72289027
2015/10/17,39.87678556
2015/10/18,38.56059659
2015/10/19,38.8358409
2015/10/20,39.73286902
2015/10/21,39.27192971
2015/10/22,40.42519957
2015/10/23,40.80026998
2015/10/24,41.57181599
2015/10/25,41.88179591
2015/10/26,42.132657
2015/10/27,43.39691162
2015/10/28,45.0073157
2015/10/29,46.38398453
2015/10/30,48.49068678
2015/10/31,46.45479257
2015/11/1,48.13284494
2015/11/2,53.43561831
2015/11/3,59.69854064
2015/11/4,60.92012219
2015/11/5,57.20252942
2015/11/6,55.45657765
2015/11/7,57.25042316
2015/11/8,55.32076551
2015/11/9,56.35562934
2015/11/10,49.93015819
2015/11/11,46.12832901
2015/11/12,50.15568102
2015/11/13,49.96164958
2015/11/14,49.40265963
2015/11/15,47.52459764
2015/11/16,49.1104691
2015/11/17,49.76770269
2015/11/18,49.70556617
2015/11/19,48.46267268
2015/11/20,47.862966
2015/11/21,48.60634873
2015/11/22,48.26464375
2015/11/23,48.05633055
2015/11/24,47.62242509
2015/11/25,48.84879914
2015/11/26,52.50752251
2015/11/27,53.31720124
2015/11/28,53.23257261
2015/11/29,55.31871362
2015/11/30,56.23189844
2015/12/1,54.03659484
2015/12/2,53.55886859
2015/12/3,53.84890351
2015/12/4,54.18154417
2015/12/5,58.04240733
2015/12/6,58.03309467
2015/12/7,59.05562119
2015/12/8,62.06379462
2015/12/9,62.3801615
2015/12/10,62.09108392
2015/12/11,67.55789087
2015/12/12,65.04324037
2015/12/13,64.8729179
2015/12/14,66.45389508
2015/12/15,69.63779883
2015/12/16,68.10197585
2015/12/17,68.29094922
2015/12/18,69.43917484
2015/12/19,69.2634717
2015/12/20,66.33993867
2015/12/21,65.74989912
2015/12/22,65.45636206
2015/12/23,66.3477263
2015/12/24,68.25073267
2015/12/25,68.36940917
2015/12/26,62.62839366
2015/12/27,63.48303535
2015/12/28,63.41731738
2015/12/29,65.0418892
2015/12/30,64.10383215
2015/12/31,64.71223703
2016/1/1,65.29295684
2016/1/2,65.17388016
2016/1/3,64.6743708
2016/1/4,65.15715687
2016/1/5,65.00389453
2016/1/6,64.5893767
2016/1/7,68.96276384
2016/1/8,68.25697862
2016/1/9,67.42760333
2016/1/10,67.50434827
2016/1/11,67.58935766
2016/1/12,65.68799216
2016/1/13,65.20360089
2016/1/14,64.9063704
2016/1/15,54.96592879
2016/1/16,58.48068794
2016/1/17,57.70476778
2016/1/18,58.45654194
2016/1/19,57.40938117
2016/1/20,63.47833733
2016/1/21,61.98663326
2016/1/22,57.80761454
2016/1/23,58.58053377
2016/1/24,60.93789879
2016/1/25,59.25345607
2016/1/26,59.33373619
2016/1/27,59.77550597
2016/1/28,57.56703857
2016/1/29,57.45990427
2016/1/30,57.29295707
2016/1/31,55.87251013
2016/2/1,56.53741139
2016/2/2,56.76526364
2016/2/3,56.09971455
2016/2/4,59.09518467
2016/2/5,58.65131582
2016/2/6,57.14879203
2016/2/7,57.18025977
2016/2/8,56.71235133
2016/2/9,57.12103683
2016/2/10,57.99046961
2016/2/11,57.70554094
2016/2/12,58.42240914
2016/2/13,59.59280231
2016/2/14,61.94714911
2016/2/15,60.89058353
2016/2/16,62.01585425
2016/2/17,63.37625713
2016/2/18,64.31549229
2016/2/19,64.08882644
2016/2/20,66.59987304
2016/2/21,66.86296148
2016/2/22,66.71673277
2016/2/23,64.13838534
2016/2/24,64.79391197
2016/2/25,64.74780599
2016/2/26,65.9232344
2016/2/27,65.99520317
2016/2/28,66.15992343
2016/2/29,66.81446896
2016/3/1,66.43690381
2016/3/2,64.75327948
2016/3/3,64.41070631
2016/3/4,62.79022702
2016/3/5,61.22093078
2016/3/6,62.32667417
2016/3/7,63.35170246
2016/3/8,63.31420677
2016/3/9,63.46729417
2016/3/10,63.83107932
2016/3/11,64.5454838
2016/3/12,63.01963332
2016/3/13,63.40695059
2016/3/14,63.78630851
2016/3/15,63.86307133
2016/3/16,63.90670177
2016/3/17,64.47468001
2016/3/18,62.79121081
2016/3/19,62.942777
2016/3/20,63.46553666
2016/3/21,63.41110153
2016/3/22,64.16020303
2016/3/23,64.16841766
2016/3/24,63.93095529
2016/3/25,64.06601985
2016/3/26,64.20039527
2016/3/27,65.57036225
2016/3/28,65.19893605
2016/3/29,64.02956898
2016/3/30,63.78353802
2016/3/31,64.09069919
2016/4/1,64.29586915
2016/4/2,64.75852197
2016/4/3,64.77833347
2016/4/4,64.87892012
2016/4/5,65.29345152
2016/4/6,65.21485982
2016/4/7,65.12691259
2016/4/8,64.7729575
2016/4/9,64.64533073
